Local time in Romulus / Detroit (airport);T;P0;P;U;DD;Ff;ff10;WW;W'W';c;VV;Td
30.08.2022 9:53;24.0;742.0;758.7;69;Wind blowing from the west;4;;;;Broken clouds (60-90%) 600 m, broken clouds (60-90%) 2250 m;16.0;18.0
30.08.2022 9:42;24.0;742.0;758.7;69;Wind blowing from the west;5;;;;Scattered clouds (40-50%) 600 m, scattered clouds (40-50%) 2250 m;16.0;18.0
30.08.2022 8:53;22.0;741.9;758.7;78;Wind blowing from the south-west;4;;;;Broken clouds (60-90%) 750 m, broken clouds (60-90%) 1800 m;16.0;18.0
30.08.2022 7:53;21.0;741.3;758.2;88;Wind blowing from the south;4;;;;Overcast (100%) 600 m;16.0;19.0
30.08.2022 6:53;21.0;741.0;757.9;83;Wind blowing from the west-southwest;3;;;;Broken clouds (60-90%) 510 m, broken clouds (60-90%) 1950 m, overcast (100%) 3600 m;16.0;18.0
30.08.2022 6:49;21.0;741.0;757.9;83;Wind blowing from the west-southwest;3;;;;Broken clouds (60-90%) 510 m, broken clouds (60-90%) 1950 m, overcast (100%) 3600 m;16.0;18.0
30.08.2022 6:27;21.0;740.8;757.7;83;Wind blowing from the west-northwest;2;;;;Scattered clouds (40-50%) 660 m, broken clouds (60-90%) 1950 m, overcast (100%) 3600 m;14.0;18.0
30.08.2022 6:00;21.0;740.5;757.4;83;Wind blowing from the west-northwest;4;;;;Broken clouds (60-90%) 660 m, broken clouds (60-90%) 1650 m, overcast (100%) 3600 m;16.0;18.0
30.08.2022 5:53;21.0;740.5;757.4;83;Wind blowing from the west-northwest;4;;;;Scattered clouds (40-50%) 750 m, broken clouds (60-90%) 1350 m, overcast (100%) 3000 m;16.0;18.0
30.08.2022 4:53;21.0;740.8;757.7;83;Wind blowing from the west;4;;Light rain;;Scattered clouds (40-50%) 1800 m, broken clouds (60-90%) 2850 m, overcast (100%) 5100 m;12.0;18.0
30.08.2022 3:53;22.0;741.1;757.9;73;Wind blowing from the west;5;;;;Few clouds (10-30%) 1950 m, broken clouds (60-90%) 3600 m, overcast (100%) 6600 m;16.0;17.0
30.08.2022 2:53;22.0;741.4;758.2;78;Wind blowing from the west;5;;;;Scattered clouds (40-50%) 1950 m, broken clouds (60-90%) 3300 m, overcast (100%) 6600 m;16.0;18.0
30.08.2022 1:53;21.0;741.3;758.2;88;Wind blowing from the west-southwest;3;;;;Few clouds (10-30%) 2250 m, broken clouds (60-90%) 4200 m, broken clouds (60-90%) 7200 m;16.0;19.0
30.08.2022 0:53;21.0;741.5;758.4;88;Wind blowing from the west-southwest;5;;;;Few clouds (10-30%) 1800 m, broken clouds (60-90%) 4200 m, broken clouds (60-90%) 6900 m;16.0;19.0
29.08.2022 23:53;21.0;742.1;759.0;88;Wind blowing from the south-west;3;;;;Scattered clouds (40-50%) 1800 m, broken clouds (60-90%) 4200 m, overcast (100%) 6900 m;16.0;19.0
29.08.2022 22:53;21.0;742.3;759.2;88;Wind blowing from the south-west;4;;;;Scattered clouds (40-50%) 1500 m, scattered clouds (40-50%) 3900 m, broken clouds (60-90%) 6000 m;16.0;19.0
29.08.2022 21:53;20.0;742.5;759.5;94;Wind blowing from the south-southwest;3;;;;Few clouds (10-30%) 1500 m, scattered clouds (40-50%) 3900 m, broken clouds (60-90%) 6000 m;16.0;19.0
29.08.2022 20:53;20.0;742.2;759.2;94;Wind blowing from the south-southwest;4;;;;Scattered clouds (40-50%) 1500 m, broken clouds (60-90%) 3900 m, broken clouds (60-90%) 5400 m;16.0;19.0
29.08.2022 19:53;21.0;741.3;758.2;88;Wind blowing from the south-southwest;4;;;;Few clouds (10-30%) 1500 m, broken clouds (60-90%) 3600 m, overcast (100%) 4500 m;16.0;19.0
29.08.2022 18:53;21.0;740.0;756.9;88;Wind blowing from the east;4;;Light rain;;Scattered clouds (40-50%) 1650 m, broken clouds (60-90%) 3000 m, overcast (100%) 3600 m;16.0;19.0
29.08.2022 17:53;21.0;742.3;759.2;88;Wind blowing from the west;4;;;;Scattered clouds (40-50%) 1050 m, scattered clouds (40-50%) 1650 m, overcast (100%) 2400 m;16.0;19.0
29.08.2022 17:43;21.0;742.6;759.5;88;Wind blowing from the west-northwest;3;7;Light rain;;Scattered clouds (40-50%) 1050 m, broken clouds (60-90%) 1650 m, overcast (100%) 2100 m;14.0;19.0
29.08.2022 17:27;;;759.7;;Wind blowing from the west-northwest;8;16;Thunderstorm, rain, mist;;Scattered clouds (40-50%) 900 m, broken clouds (60-90%) 1500 m, cumulonimbus clouds , overcast (100%) 2100 m;6.0;
29.08.2022 17:17;;;759.5;;Wind blowing from the north-west;12;22;Heavy thunderstorm, rain, mist;;Scattered clouds (40-50%) 900 m, broken clouds (60-90%) 1500 m, cumulonimbus clouds , overcast (100%) 2100 m;2.0;
29.08.2022 17:09;24.0;742.9;759.7;69;Wind blowing from the north-west;14;26;Heavy thunderstorm, rain, squalls;;Scattered clouds (40-50%) 900 m, broken clouds (60-90%) 1500 m, cumulonimbus clouds , overcast (100%) 7500 m;4.0;18.0
29.08.2022 17:07;27.0;743.1;759.7;70;Wind blowing from the west-northwest;16;26;Heavy thunderstorm, rain, squalls;;Scattered clouds (40-50%) 900 m, broken clouds (60-90%) 1500 m, cumulonimbus clouds , overcast (100%) 7500 m;4.0;21.0
29.08.2022 16:53;30.0;741.3;757.7;70;Wind blowing from the south-west;7;;Thunderstorm;;Scattered clouds (40-50%) 900 m, broken clouds (60-90%) 1500 m, cumulonimbus clouds , broken clouds (60-90%) 7500 m;16.0;24.0
29.08.2022 16:35;30.0;741.3;757.7;70;Wind blowing from the south-west;8;12;Thunderstorm;;Scattered clouds (40-50%) 900 m, broken clouds (60-90%) 1500 m, cumulonimbus clouds , broken clouds (60-90%) 7500 m;16.0;24.0
29.08.2022 15:53;32.0;741.6;757.9;63;Wind blowing from the south-west;8;11;;;Scattered clouds (40-50%) 900 m, cumulus congestus of great vertical extent , broken clouds (60-90%) 1350 m, broken clouds (60-90%) 7500 m;16.0;24.0
29.08.2022 14:53;31.0;741.1;757.4;66;Wind blowing from the south-west;7;12;;;Scattered clouds (40-50%) 840 m, cumulus congestus of great vertical extent , broken clouds (60-90%) 7500 m;16.0;24.0
29.08.2022 14:26;30.0;741.3;757.7;70;Wind blowing from the south-southwest;7;;;;Scattered clouds (40-50%) 750 m, broken clouds (60-90%) 960 m, broken clouds (60-90%) 7500 m;16.0;24.0
29.08.2022 13:53;29.0;742.2;758.7;70;Wind blowing from the south-southwest;9;11;;;Broken clouds (60-90%) 750 m, broken clouds (60-90%) 900 m;16.0;23.0
29.08.2022 12:53;28.0;743.0;759.5;74;Wind blowing from the south-southwest;7;12;;;Overcast (100%) 540 m;16.0;23.0
29.08.2022 12:18;27.0;743.1;759.7;74;Wind blowing from the south-southwest;7;;;;Broken clouds (60-90%) 510 m, broken clouds (60-90%) 7500 m;16.0;22.0
29.08.2022 11:53;26.0;743.3;760.0;79;Wind blowing from the south-southwest;6;10;;;Few clouds (10-30%) 240 m, few clouds (10-30%) 450 m, scattered clouds (40-50%) 7500 m;16.0;22.0
29.08.2022 11:05;23.0;743.7;760.5;89;Wind blowing from the south-southwest;5;;;;Scattered clouds (40-50%) 240 m, broken clouds (60-90%) 6900 m;16.0;21.0
29.08.2022 10:53;22.0;743.6;760.5;94;Wind blowing from the south-southwest;5;;;;Broken clouds (60-90%) 240 m, broken clouds (60-90%) 6600 m;16.0;21.0
29.08.2022 10:24;22.0;743.6;760.5;94;Wind blowing from the south-southwest;5;;;;Broken clouds (60-90%) 240 m, broken clouds (60-90%) 5700 m;16.0;21.0
29.08.2022 10:06;22.0;743.6;760.5;94;Wind blowing from the south;4;;;;Few clouds (10-30%) 240 m, scattered clouds (40-50%) 390 m, broken clouds (60-90%) 5700 m;16.0;21.0
29.08.2022 9:53;22.0;743.6;760.5;94;Wind blowing from the south;4;;;;Scattered clouds (40-50%) 240 m, broken clouds (60-90%) 390 m, overcast (100%) 1050 m;16.0;21.0
29.08.2022 9:41;22.0;743.8;760.7;94;Wind blowing from the south-southwest;5;;;;Scattered clouds (40-50%) 210 m, broken clouds (60-90%) 390 m, overcast (100%) 1650 m;12.0;21.0
29.08.2022 9:11;22.0;743.8;760.7;94;Wind blowing from the south-southwest;5;;Light rain;;Few clouds (10-30%) 240 m, broken clouds (60-90%) 1800 m, overcast (100%) 3300 m;14.0;21.0
29.08.2022 8:53;22.0;743.8;760.7;94;Wind blowing from the south-southwest;4;;Light rain, mist;;Scattered clouds (40-50%) 1050 m, broken clouds (60-90%) 2700 m, overcast (100%) 3300 m;9.0;21.0
29.08.2022 8:38;22.0;743.6;760.5;94;Wind blowing from the south-west;3;;Light rain, mist;;Few clouds (10-30%) 450 m, scattered clouds (40-50%) 1200 m, overcast (100%) 2250 m;9.0;21.0
29.08.2022 8:31;22.0;743.8;760.7;94;Wind blowing from the west-southwest;5;10;Thunderstorm, rain, mist;;Few clouds (10-30%) 450 m, broken clouds (60-90%) 1050 m, cumulonimbus clouds , overcast (100%) 2250 m;4.0;21.0
29.08.2022 8:28;22.0;743.8;760.7;94;Wind blowing from the west-southwest;6;10;Thunderstorm, rain, mist;;Few clouds (10-30%) 450 m, broken clouds (60-90%) 900 m, cumulonimbus clouds , overcast (100%) 2250 m;3.0;21.0
29.08.2022 8:24;22.0;744.1;761.0;94;Wind blowing from the south-west;8;;Heavy thunderstorm, rain, mist;;Scattered clouds (40-50%) 690 m, broken clouds (60-90%) 1350 m, cumulonimbus clouds , overcast (100%) 3000 m;2.0;21.0
29.08.2022 8:20;23.0;744.2;761.0;89;Wind blowing from the south-west;9;;Thunderstorm, rain;;Few clouds (10-30%) 600 m, broken clouds (60-90%) 1350 m, cumulonimbus clouds , overcast (100%) 3300 m;3.0;21.0
29.08.2022 7:53;24.0;743.7;760.5;78;Wind blowing from the south-west;7;;Thunderstorm;;Few clouds (10-30%) 420 m, scattered clouds (40-50%) 1800 m, cumulonimbus clouds , overcast (100%) 3000 m;16.0;20.0
29.08.2022 6:53;23.0;743.2;760.0;83;Wind blowing from the south-west;7;;Light rain;;Broken clouds (60-90%) 1650 m, broken clouds (60-90%) 2700 m, overcast (100%) 6000 m;14.0;20.0
29.08.2022 5:53;24.0;743.4;760.2;78;Wind blowing from the south-west;7;;;;Scattered clouds (40-50%) 1800 m, broken clouds (60-90%) 2550 m, overcast (100%) 5400 m;14.0;20.0
29.08.2022 4:53;26.0;743.3;760.0;70;Wind blowing from the south-west;8;;;;Scattered clouds (40-50%) 1800 m, broken clouds (60-90%) 4200 m, overcast (100%) 6600 m;16.0;20.0
29.08.2022 3:53;25.0;742.8;759.5;79;Wind blowing from the south-southwest;5;;;;Scattered clouds (40-50%) 1800 m, broken clouds (60-90%) 4200 m, overcast (100%) 7200 m;16.0;21.0
29.08.2022 2:53;24.0;742.5;759.2;83;Wind blowing from the south;4;;;;Few clouds (10-30%) 1800 m, broken clouds (60-90%) 2700 m, overcast (100%) 7500 m;16.0;21.0
29.08.2022 1:53;24.0;742.5;759.2;83;Wind blowing from the south;4;;;;Few clouds (10-30%) 1800 m, broken clouds (60-90%) 2700 m, overcast (100%) 7500 m;16.0;21.0
29.08.2022 0:53;25.0;742.8;759.5;79;Wind blowing from the south;4;;;;Few clouds (10-30%) 1800 m, scattered clouds (40-50%) 3000 m, broken clouds (60-90%) 7500 m;16.0;21.0
28.08.2022 23:53;26.0;743.3;760.0;70;Wind blowing from the south;5;;;;Few clouds (10-30%) 3000 m, broken clouds (60-90%) 7500 m;16.0;20.0
28.08.2022 22:53;26.0;743.3;760.0;74;Wind blowing from the south-southeast;6;;;;Scattered clouds (40-50%) 7500 m;16.0;21.0
28.08.2022 21:53;26.0;743.8;760.5;74;Wind blowing from the south-southeast;4;;;;Broken clouds (60-90%) 7500 m;16.0;21.0
28.08.2022 20:53;26.0;744.0;760.7;74;Wind blowing from the south-east;4;;;;Scattered clouds (40-50%) 7500 m;16.0;21.0
28.08.2022 19:53;26.0;743.8;760.5;70;Wind blowing from the south-east;4;;;;Few clouds (10-30%) 3000 m, scattered clouds (40-50%) 6000 m;16.0;20.0
28.08.2022 18:53;27.0;743.9;760.5;62;Wind blowing from the south-southeast;4;;;;Scattered clouds (40-50%) 3000 m, scattered clouds (40-50%) 6000 m;16.0;19.0
28.08.2022 17:53;28.0;743.7;760.2;58;Wind blowing from the south-east;4;;;;Scattered clouds (40-50%) 6000 m;16.0;19.0
28.08.2022 16:53;29.0;743.7;760.2;55;Wind blowing from the south-southeast;5;;;;Few clouds (10-30%) 1500 m, few clouds (10-30%) 6000 m;16.0;19.0
28.08.2022 15:53;29.0;744.5;761.0;55;Wind blowing from the south-southeast;7;10;;;Few clouds (10-30%) 1500 m, few clouds (10-30%) 6000 m;16.0;19.0
28.08.2022 14:53;29.0;745.2;761.7;55;Wind blowing from the south;6;9;;;Scattered clouds (40-50%) 1200 m, scattered clouds (40-50%) 7500 m;16.0;19.0
28.08.2022 13:53;29.0;745.5;762.0;55;Wind blowing from the south;5;9;;;Scattered clouds (40-50%) 1200 m, scattered clouds (40-50%) 7500 m;16.0;19.0
28.08.2022 12:53;29.0;745.8;762.3;51;Wind blowing from the south-southeast;5;8;;;Scattered clouds (40-50%) 1350 m, broken clouds (60-90%) 7500 m;16.0;18.0
28.08.2022 11:53;28.0;745.9;762.5;55;Wind blowing from the south-southeast;4;;;;Scattered clouds (40-50%) 1200 m, scattered clouds (40-50%) 2100 m, broken clouds (60-90%) 7500 m;16.0;18.0
28.08.2022 10:53;27.0;746.3;763.0;58;Wind blowing from the south;4;;;;Few clouds (10-30%) 1500 m, few clouds (10-30%) 4500 m, scattered clouds (40-50%) 7500 m;16.0;18.0
28.08.2022 9:53;26.0;746.6;763.3;61;Wind blowing from the south;3;;;;Few clouds (10-30%) 1200 m, scattered clouds (40-50%) 7500 m;16.0;18.0
28.08.2022 8:53;24.0;746.7;763.5;69;Wind blowing from the south;3;;;;Few clouds (10-30%) 1200 m, scattered clouds (40-50%) 7500 m;16.0;18.0
28.08.2022 7:53;21.0;746.5;763.5;83;Calm, no wind;0;;;;Broken clouds (60-90%) 7500 m;16.0;18.0
28.08.2022 6:53;18.0;746.3;763.5;88;Calm, no wind;0;;;;Broken clouds (60-90%) 7500 m;14.0;16.0
28.08.2022 5:53;17.0;746.3;763.5;83;Calm, no wind;0;;;;Scattered clouds (40-50%) 7500 m;14.0;14.0
28.08.2022 4:53;17.0;746.1;763.3;83;Wind blowing from the north-northeast;2;;;;Scattered clouds (40-50%) 7500 m;16.0;14.0
28.08.2022 3:53;17.0;745.8;763.0;88;Wind blowing from the north-northeast;2;;;;Few clouds (10-30%) 7500 m;16.0;15.0
28.08.2022 2:53;18.0;745.8;763.0;83;Calm, no wind;0;;;;Few clouds (10-30%) 7500 m;16.0;15.0
28.08.2022 1:53;18.0;745.6;762.8;88;Wind blowing from the east;2;;;;Few clouds (10-30%) 7500 m;16.0;16.0
28.08.2022 0:53;18.0;746.1;763.3;83;Calm, no wind;0;;;;Few clouds (10-30%) 7500 m;16.0;15.0
27.08.2022 23:53;18.0;746.3;763.5;83;Wind blowing from the east;2;;;;Few clouds (10-30%) 7500 m;16.0;15.0
27.08.2022 22:53;18.0;746.3;763.5;83;Calm, no wind;0;;;;Few clouds (10-30%) 7500 m;16.0;15.0
27.08.2022 21:53;19.0;746.7;763.8;78;Wind blowing from the east-southeast;3;;;;Few clouds (10-30%) 7500 m;16.0;15.0
27.08.2022 20:53;20.0;746.7;763.8;78;Wind blowing from the east-southeast;2;;;;Few clouds (10-30%) 7500 m;16.0;16.0
27.08.2022 19:53;21.0;746.8;763.8;73;Wind blowing from the south-east;2;;;;Scattered clouds (40-50%) 7500 m;16.0;16.0
27.08.2022 18:53;22.0;746.8;763.8;69;Wind blowing from the south-southeast;3;;;;Few clouds (10-30%) 1500 m, broken clouds (60-90%) 7500 m;16.0;16.0
27.08.2022 17:53;24.0;747.0;763.8;61;Wind blowing from the south-southeast;4;;;;Few clouds (10-30%) 1500 m, broken clouds (60-90%) 7500 m;16.0;16.0
27.08.2022 16:53;26.0;747.1;763.8;54;Wind blowing from the east-southeast;4;;;;Few clouds (10-30%) 1200 m, scattered clouds (40-50%) 7500 m;16.0;16.0
27.08.2022 15:53;26.0;747.1;763.8;48;variable wind direction;3;;;;Few clouds (10-30%) 1200 m, few clouds (10-30%) 7500 m;16.0;14.0
27.08.2022 14:53;27.0;747.3;764.0;42;variable wind direction;3;;;;Few clouds (10-30%) 1200 m, few clouds (10-30%) 7500 m;16.0;13.0
27.08.2022 13:53;26.0;748.0;764.8;45;variable wind direction;3;;;;Few clouds (10-30%) 1050 m, few clouds (10-30%) 7500 m;16.0;13.0
27.08.2022 12:53;26.0;748.0;764.8;42;Wind blowing from the north-east;3;;;;Few clouds (10-30%) 1050 m, few clouds (10-30%) 7500 m;16.0;12.0
27.08.2022 11:53;24.0;748.1;765.0;47;Calm, no wind;0;;;;Few clouds (10-30%) 1050 m, few clouds (10-30%) 7500 m;16.0;12.0
27.08.2022 10:53;23.0;748.4;765.3;61;Wind blowing from the south;3;;;;Few clouds (10-30%) 7500 m;16.0;15.0
27.08.2022 9:53;21.0;748.5;765.6;64;Wind blowing from the east-northeast;3;;;;Few clouds (10-30%) 1350 m, few clouds (10-30%) 7500 m;16.0;14.0
27.08.2022 8:53;20.0;748.5;765.6;73;Wind blowing from the east;2;;;;Few clouds (10-30%) 1200 m, few clouds (10-30%) 7500 m;16.0;15.0
27.08.2022 7:53;18.0;748.4;765.6;78;Calm, no wind;0;;;;Few clouds (10-30%) 7500 m;16.0;14.0
27.08.2022 6:53;16.0;748.3;765.6;88;Wind blowing from the north-east;2;;;;Few clouds (10-30%) 7500 m;16.0;14.0
27.08.2022 5:53;14.0;747.5;765.0;94;Wind blowing from the north-northeast;2;;;;Few clouds (10-30%) 7500 m;16.0;13.0
27.08.2022 4:53;15.0;747.4;764.8;88;Wind blowing from the north;2;;;;No clouds;14.0;13.0
27.08.2022 3:53;16.0;747.2;764.5;88;Calm, no wind;0;;Mist;;No clouds;9.0;14.0
27.08.2022 2:53;17.0;747.2;764.5;83;Calm, no wind;0;;;;Few clouds (10-30%) 1200 m;16.0;14.0
27.08.2022 1:53;17.0;747.2;764.5;83;Wind blowing from the north;2;;;;Few clouds (10-30%) 1200 m;16.0;14.0
27.08.2022 0:53;17.0;747.2;764.5;88;Wind blowing from the north-northeast;4;;;;No clouds;16.0;15.0
26.08.2022 23:53;18.0;747.3;764.5;88;Calm, no wind;0;;;;Few clouds (10-30%) 7500 m;16.0;16.0
26.08.2022 22:53;19.0;747.2;764.3;83;Wind blowing from the east;2;;;;Few clouds (10-30%) 1050 m, scattered clouds (40-50%) 7500 m;16.0;16.0
26.08.2022 21:53;21.0;747.0;764.0;78;Calm, no wind;0;;;;Few clouds (10-30%) 1050 m, scattered clouds (40-50%) 1350 m, broken clouds (60-90%) 7500 m;16.0;17.0
26.08.2022 20:53;22.0;746.5;763.5;73;Wind blowing from the east;3;;;;Few clouds (10-30%) 750 m, broken clouds (60-90%) 1050 m, broken clouds (60-90%) 1350 m;16.0;17.0
26.08.2022 19:53;23.0;746.4;763.3;69;Wind blowing from the east-northeast;4;;;;Broken clouds (60-90%) 1350 m, broken clouds (60-90%) 7500 m;16.0;17.0
26.08.2022 18:53;24.0;746.0;762.8;57;Wind blowing from the north-northwest;3;;;;Scattered clouds (40-50%) 1350 m, scattered clouds (40-50%) 1800 m, broken clouds (60-90%) 7500 m;16.0;15.0
26.08.2022 17:53;25.0;745.7;762.5;57;Wind blowing from the north-northwest;5;;;;Scattered clouds (40-50%) 1200 m, broken clouds (60-90%) 1800 m;16.0;16.0
26.08.2022 16:53;26.0;745.6;762.3;58;Wind blowing from the west;3;;;;Scattered clouds (40-50%) 1200 m, broken clouds (60-90%) 1500 m;16.0;17.0
26.08.2022 15:53;25.0;745.2;762.0;57;Wind blowing from the west;3;;;;Few clouds (10-30%) 750 m, scattered clouds (40-50%) 1500 m;16.0;16.0
26.08.2022 14:53;25.0;745.5;762.3;61;Wind blowing from the west;3;;;;Few clouds (10-30%) 750 m, scattered clouds (40-50%) 1350 m;16.0;17.0
26.08.2022 14:15;23.0;745.6;762.5;69;Wind blowing from the west;3;;;;Broken clouds (60-90%) 750 m, overcast (100%) 1140 m;16.0;17.0
26.08.2022 13:53;23.0;745.6;762.5;69;Wind blowing from the west-northwest;4;;;;Scattered clouds (40-50%) 750 m, overcast (100%) 1200 m;16.0;17.0
26.08.2022 13:36;23.0;745.6;762.5;69;Wind blowing from the north-northwest;4;;;;Scattered clouds (40-50%) 750 m, overcast (100%) 1050 m;16.0;17.0
26.08.2022 12:53;22.0;745.6;762.5;73;Wind blowing from the north-northwest;4;;;;Broken clouds (60-90%) 750 m, overcast (100%) 1050 m;16.0;17.0
26.08.2022 11:53;23.0;745.6;762.5;69;Wind blowing from the north;5;;;;Broken clouds (60-90%) 750 m, overcast (100%) 1050 m;16.0;17.0
26.08.2022 10:53;22.0;745.6;762.5;73;Wind blowing from the north-northwest;4;;;;Overcast (100%) 750 m;16.0;17.0
26.08.2022 9:53;22.0;745.4;762.3;73;Wind blowing from the north;6;;;;Overcast (100%) 540 m;16.0;17.0
26.08.2022 8:53;22.0;744.6;761.5;73;Wind blowing from the north;5;;;;Overcast (100%) 600 m;16.0;17.0
26.08.2022 8:01;22.0;744.3;761.2;83;Wind blowing from the north-northwest;5;;;;Broken clouds (60-90%) 450 m, overcast (100%) 1650 m;16.0;19.0
26.08.2022 7:53;23.0;744.4;761.2;78;Wind blowing from the north-northwest;3;;;;Scattered clouds (40-50%) 300 m, broken clouds (60-90%) 1650 m;14.0;19.0
26.08.2022 7:51;22.0;744.3;761.2;83;Wind blowing from the north-west;4;;;;Scattered clouds (40-50%) 300 m, broken clouds (60-90%) 1650 m;14.0;19.0
26.08.2022 6:53;21.0;744.0;761.0;83;Wind blowing from the north-west;4;;Mist;;Broken clouds (60-90%) 240 m, broken clouds (60-90%) 1050 m, overcast (100%) 2400 m;8.0;18.0
